lat,lon,count
42.2855,-83.7438,68
42.2855,-83.7437,160
42.2856,-83.7503,6
42.2856,-83.7498,2
42.2856,-83.7497,2
42.2856,-83.7496,418
42.2856,-83.7495,1265
42.2856,-83.7494,6
42.2856,-83.749,2
42.2856,-83.7487,5
42.2856,-83.7485,9
42.2856,-83.7484,859
42.2856,-83.7483,15797
42.2856,-83.7482,7336
42.2856,-83.7478,1
42.2856,-83.7476,4
42.2856,-83.7471,2284
42.2856,-83.747,3887
42.2856,-83.7469,41
42.2856,-83.7468,6190
42.2856,-83.7467,20478
42.2856,-83.7466,19939
42.2856,-83.7465,4134
42.2856,-83.7464,100
42.2856,-83.7463,20
42.2856,-83.7462,7
42.2856,-83.7461,12
42.2856,-83.746,4
42.2856,-83.7459,309
42.2856,-83.7458,41706
42.2856,-83.7457,584
42.2856,-83.7456,2
42.2856,-83.7451,2
42.2856,-83.7446,8
42.2856,-83.7445,805
42.2856,-83.7444,7760
42.2856,-83.7443,2107
42.2856,-83.7442,6
42.2856,-83.744,13
42.2856,-83.7439,7
42.2856,-83.7438,89
42.2856,-83.7437,2114
42.2856,-83.7436,34822
42.2856,-83.7435,64
42.2857,-83.7508,2
42.2857,-83.7503,2
42.2857,-83.75,2
42.2857,-83.7496,198
42.2857,-83.7495,1339
42.2857,-83.7494,4
42.2857,-83.7485,8
42.2857,-83.7484,275
42.2857,-83.7483,14631
42.2857,-83.7482,7104
42.2857,-83.7478,8
42.2857,-83.7477,3
42.2857,-83.7476,1
42.2857,-83.7471,748
42.2857,-83.747,3051
42.2857,-83.7468,5
42.2857,-83.7467,25
42.2857,-83.7466,3237
42.2857,-83.7465,18093
42.2857,-83.7464,19398
42.2857,-83.7463,3062
42.2857,-83.7462,1069
42.2857,-83.7461,16
42.2857,-83.746,6
42.2857,-83.7459,87
42.2857,-83.7458,39605
42.2857,-83.7457,752
42.2857,-83.7456,4
42.2857,-83.7455,2
42.2857,-83.7452,2
42.2857,-83.7445,10
42.2857,-83.7444,294
42.2857,-83.7443,8488
42.2857,-83.7442,1040
42.2857,-83.7441,8
42.2857,-83.744,15
42.2857,-83.7439,7
42.2857,-83.7438,82
42.2857,-83.7437,1176
42.2857,-83.7436,46620
42.2857,-83.7435,460
42.2857,-83.7434,38
42.2858,-83.7508,2
42.2858,-83.7507,2
42.2858,-83.7505,2
42.2858,-83.7496,127
42.2858,-83.7495,1553
42.2858,-83.7494,8
42.2858,-83.7493,10
42.2858,-83.7485,12
42.2858,-83.7484,113
42.2858,-83.7483,14678
42.2858,-83.7482,7808
42.2858,-83.7478,2
42.2858,-83.7477,2
42.2858,-83.7471,425
42.2858,-83.747,3203
42.2858,-83.7469,1
42.2858,-83.7466,6
42.2858,-83.7465,17
42.2858,-83.7464,4008
42.2858,-83.7463,14690
42.2858,-83.7462,20530
42.2858,-83.7461,6704
42.2858,-83.746,150
42.2858,-83.7459,56
42.2858,-83.7458,45811
42.2858,-83.7457,1073
42.2858,-83.7456,26
42.2858,-83.7454,6
42.2858,-83.7444,8
42.2858,-83.7443,788
42.2858,-83.7442,8755
42.2858,-83.7441,1112
42.2858,-83.744,22
42.2858,-83.7439,2
42.2858,-83.7438,57
42.2858,-83.7437,833
42.2858,-83.7436,50494
42.2858,-83.7435,823
42.2858,-83.7434,71
42.2858,-83.7433,6
42.2859,-83.7496,78
42.2859,-83.7495,1653
42.2859,-83.7493,4
42.2859,-83.7485,9
42.2859,-83.7484,60
42.2859,-83.7483,13587
42.2859,-83.7482,8289
42.2859,-83.7471,224
42.2859,-83.747,3186
42.2859,-83.7469,13
42.2859,-83.7464,7
42.2859,-83.7463,6
42.2859,-83.7462,945
42.2859,-83.7461,15798
42.2859,-83.746,19852
42.2859,-83.7459,7731
42.2859,-83.7458,50901
42.2859,-83.7457,2174
42.2859,-83.7456,153
42.2859,-83.7455,19
42.2859,-83.7454,3
42.2859,-83.7452,2
42.2859,-83.7443,6
42.2859,-83.7442,784
42.2859,-83.7441,8608
42.2859,-83.744,1204
42.2859,-83.7439,9
42.2859,-83.7438,38
42.2859,-83.7437,610
42.2859,-83.7436,49614
42.2859,-83.7435,1630
42.2859,-83.7434,44
42.2859,-83.7433,3
42.2859,-83.7432,5
42.286,-83.7496,50
42.286,-83.7495,2011
42.286,-83.7485,8
42.286,-83.7484,35
42.286,-83.7483,13569
42.286,-83.7482,9353
42.286,-83.7481,7
42.286,-83.7476,3
42.286,-83.7471,114
42.286,-83.747,3621
42.286,-83.7469,14
42.286,-83.7462,5
42.286,-83.7461,7
42.286,-83.746,579
42.286,-83.7459,13234
42.286,-83.7458,43042
42.286,-83.7457,65651
42.286,-83.7456,13311
42.286,-83.7455,441
42.286,-83.7454,80
42.286,-83.7453,14
42.286,-83.7452,1
42.286,-83.7451,2
42.286,-83.7442,2
42.286,-83.7441,804
42.286,-83.744,10175
42.286,-83.7439,1811
42.286,-83.7438,26
42.286,-83.7437,523
42.286,-83.7436,53490
42.286,-83.7435,4088
42.286,-83.7434,50
42.286,-83.7432,9
42.286,-83.743,16
42.286,-83.7429,1
42.2861,-83.7504,2
42.2861,-83.7496,24
42.2861,-83.7495,1952
42.2861,-83.7492,2
42.2861,-83.7484,16
42.2861,-83.7483,11284
42.2861,-83.7482,8303
42.2861,-83.7481,8
42.2861,-83.748,2
42.2861,-83.7477,2
42.2861,-83.7476,8
42.2861,-83.7471,80
42.2861,-83.747,2923
42.2861,-83.7469,12
42.2861,-83.7464,2
42.2861,-83.746,5
42.2861,-83.7459,6
42.2861,-83.7458,25790
42.2861,-83.7457,8512
42.2861,-83.7456,47494
42.2861,-83.7455,49561
42.2861,-83.7454,8023
42.2861,-83.7453,259
42.2861,-83.7452,74
42.2861,-83.7451,11
42.2861,-83.745,4
42.2861,-83.744,1788
42.2861,-83.7439,9417
42.2861,-83.7438,2165
42.2861,-83.7437,341
42.2861,-83.7436,41006
42.2861,-83.7435,6857
42.2861,-83.7434,53
42.2861,-83.7432,2
42.2861,-83.7431,5
42.2861,-83.743,12
42.2861,-83.7429,3
42.2862,-83.752,1
42.2862,-83.7519,5
