lat,lon,count
42.2922,-83.7473,54
42.2922,-83.7472,2031
42.2922,-83.7471,1859
42.2922,-83.747,3
42.2923,-83.7473,92
42.2923,-83.7472,1855
42.2923,-83.7471,1865
42.2923,-83.747,1
42.2924,-83.7473,75
42.2924,-83.7472,2161
42.2924,-83.7471,1941
42.2924,-83.747,3
42.2925,-83.7473,32
42.2925,-83.7472,1969
42.2925,-83.7471,1902
42.2926,-83.7473,7
42.2926,-83.7472,2150
42.2926,-83.7471,1728
42.2927,-83.7473,2
42.2927,-83.7472,1799
42.2927,-83.7471,920
42.2927,-83.747,4
42.2928,-83.7472,1538
42.2928,-83.7471,760
42.2928,-83.747,5
42.2929,-83.7472,651
42.2929,-83.7471,739
42.2929,-83.747,27
42.2929,-83.7468,1
42.293,-83.7472,275
42.293,-83.7471,324
42.293,-83.747,38
42.2931,-83.7472,36
42.2931,-83.7471,167
42.2931,-83.747,42
42.2932,-83.7472,2
42.2932,-83.7471,61
42.2932,-83.747,41
42.2933,-83.7471,35
42.2933,-83.747,7
42.2934,-83.7471,15
42.2934,-83.747,5
42.2935,-83.7471,10
42.2935,-83.747,7
42.2935,-83.7469,2
42.2936,-83.747,2
42.2936,-83.7469,2
