RxDevice,FileId,TxDevice,GenTime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,PathCount,RadiusOfCurve,Confidence
1566,1158354,1566,291864256384336,-9018,36,50300,42.408772,-83.874092,267.70001,19.559999,174.7375,0.47,9.9999998E-3,-0.14,5.9999999E-2,2.0,3276.7,98
1566,1158354,1566,291864256484353,-9018,37,50400,42.408749,-83.874077,267.70001,19.559999,174.7375,0.47,9.9999998E-3,-0.14,5.9999999E-2,2.0,3276.7,98
1566,1158354,1566,291864256584355,-9018,38,50500,42.40873,-83.874077,267.70001,19.559999,174.7375,0.47,9.9999998E-3,-0.14,5.9999999E-2,2.0,3276.7,98
1566,1158354,1566,291864256684365,-9018,39,50600,42.408718,-83.874077,267.70001,19.559999,174.7375,0.47,9.9999998E-3,-0.14,5.9999999E-2,2.0,3276.7,98
1566,1158354,1566,291864256784355,-9018,40,50700,42.408699,-83.874077,267.70001,19.559999,174.7375,0.47,9.9999998E-3,-0.14,5.9999999E-2,2.0,3276.7,98
1566,1158354,1566,291864256884348,-9018,41,50800,42.40868,-83.874077,267.70001,19.559999,174.7375,0.47,9.9999998E-3,-0.14,5.9999999E-2,2.0,3276.7,98
1566,1158354,1566,291864256984351,-9018,42,50900,42.408661,-83.874077,267.70001,19.559999,174.7375,0.47,9.9999998E-3,-0.14,5.9999999E-2,2.0,3276.7,98
1566,1158354,1566,291864257084383,-9018,43,51000,42.408649,-83.874077,267.70001,19.559999,174.7375,0.47,9.9999998E-3,-0.14,5.9999999E-2,2.0,3276.7,98
1566,1158354,1566,291864257184388,-9018,44,51100,42.408619,-83.874069,267.5,19.799999,175.08749,0.22,2.9999999E-2,-0.14,0.1,2.0,3276.7,97
1566,1158354,1566,291864257284350,-9018,45,51200,42.408611,-83.874069,267.5,19.799999,175.08749,0.22,2.9999999E-2,-0.14,0.1,2.0,3276.7,97
1566,1158354,1566,291864257384366,-9018,46,51300,42.408588,-83.874069,267.5,19.799999,175.08749,0.22,2.9999999E-2,-0.14,0.1,2.0,3276.7,97
1566,1158354,1566,291864257484355,-9018,47,51400,42.408569,-83.874069,267.5,19.799999,175.08749,0.22,2.9999999E-2,-0.14,0.1,2.0,3276.7,97
1566,1158354,1566,291864257584362,-9018,48,51500,42.40855,-83.874062,267.5,19.799999,175.08749,0.22,2.9999999E-2,-0.14,0.1,2.0,3276.7,97
1566,1158354,1566,291864257684354,-9018,49,51600,42.408539,-83.874062,267.5,19.799999,175.08749,0.22,2.9999999E-2,-0.14,0.1,2.0,3276.7,97
1566,1158354,1566,291864257784360,-9018,50,51700,42.40852,-83.874062,267.5,19.799999,175.08749,0.22,2.9999999E-2,-0.14,0.1,2.0,3276.7,97
